,dataset_id,dataset_name,Source,CZI CellXGene,Human Cell Atlas DCP,CXG + HCA (BOTH),"matched at (src, dest)",sex,development_stage,organs,organ_cell_count,total_cell_count,disease,publication_name / collection_name,doi_title_same_as_dataset_title,doi_id,doi_url,doi_title
0,d5c67a4e-a8d9-456d-a273-fa01adb1b308,Retina,CZI CXG,1,0,0,,female | male,42-year-old human stage | 53-year-old human stage | 80-year-old human stage,retina,N/A,19694,cataract | normal,A single-cell transcriptome atlas of the adult human retina,False,10.1109/camp.1993.622469,http://dx.doi.org/10.1109/camp.1993.622469,CISC retina vs RISC retina
1,2672b679-8048-4f5e-9786-f1b196ccfd08,Lung Parenchyma,CZI CXG,1,0,0,,female | male,eighth decade human stage | fifth decade human stage | seventh decade human stage | sixth decade human stage,lung parenchyma,N/A,57019,normal,"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",True,10.1007/978-1-4471-3137-3_5,http://dx.doi.org/10.1007/978-1-4471-3137-3_5,Lung Parenchyma
2,644a578d-ffdc-446b-9679-e7ab4c919c13,Spleen,CZI CXG,1,0,0,,female | male,fifth decade human stage | sixth decade human stage | third decade human stage,spleen,N/A,94256,normal,"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",True,10.1201/9781351261203-5,http://dx.doi.org/10.1201/9781351261203-5,Spleen
3,b07fb54c-d7ad-4995-8bb0-8f3d8611cabe,Esophagus Epithelium,CZI CXG,1,0,0,,female | male,fifth decade human stage | fourth decade human stage | seventh decade human stage | sixth decade human stage,epithelium of esophagus,N/A,87947,normal,"scRNA-seq assessment of the human lung, spleen, and esophagus tissue stability after cold preservation",False,10.1097/00000478-200111000-00020,http://dx.doi.org/10.1097/00000478-200111000-00020,Multilayered Epithelium in Barrett's Esophagus
4,2a498ace-872a-4935-984b-1afa70fd9886,PBMC,CZI CXG,1,0,0,,female | male,2-5 year-old child stage | 6-12 year-old child stage | adolescent stage | human adult stage | human aged stage | infant stage | newborn human stage,blood,N/A,422220,COVID-19 | normal,Local and systemic responses to SARS-CoV-2 infection in children and adults,False,10.17504/protocols.io.j2scqee,http://dx.doi.org/10.17504/protocols.io.j2scqee,PBMC Isolation v1
5,edc8d3fe-153c-4e3d-8be0-2108d30f8d70,Airway,CZI CXG,1,0,0,,female | male,2-5 year-old child stage | 6-12 year-old child stage | adolescent stage | human adult stage | human aged stage | infant stage | newborn human stage,bronchus | nasal cavity | trachea,N/A,236977,COVID-19 | normal,Local and systemic responses to SARS-CoV-2 infection in children and adults,False,10.5005/jp/books/12334_3,http://dx.doi.org/10.5005/jp/books/12334_3,Airway – the emergency airway
6,fa8605cf-f27e-44af-ac2a-476bee4410d3,PBMCs,CZI CXG,1,0,0,,unknown,65-79 year-old human stage | 80 year-old and over human stage | human early adulthood stage | human middle aged stage,blood,N/A,59506,COVID-19 | normal,Acute COVID-19 cohort across a range of WHO categories seen at the Department of Emergency Medicine at MGH,False,10.21769/bioprotoc.323,http://dx.doi.org/10.21769/bioprotoc.323,Isolation of Human PBMCs
7,105c7dad-0468-4628-a5be-2bb42c6a8ae4,mature,CZI CXG,1,0,0,,female | male,12-year-old human stage | 19-month-old human stage | 2-year-old human stage | 4-year-old human stage | 44-year-old human stage | 49-year-old human stage | 53-year-old human stage | 63-year-old human stage | 64-year-old human stage | 67-year-old human stage | 70-year-old human stage | 72-year-old human stage,cortex of kidney | kidney | kidney blood vessel | renal medulla | renal pelvis,N/A,40268,normal,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,False,10.1179/jpt.1997.7.1.011,http://dx.doi.org/10.1179/jpt.1997.7.1.011,“MATURE REFLECTIONS ON MATURE RELIGION”
8,a51c6ece-5731-4128-8c1e-5060e80c69e4,fetal,CZI CXG,1,0,0,,female | male,10th week post-fertilization human stage | 14th week post-fertilization human stage | 17th week post-fertilization human stage | 9th week post-fertilization human stage | organogenesis stage,kidney,N/A,27203,normal,Single cell derived mRNA signals across human kidney tumors,False,10.1093/med/9780198713333.003.0007,http://dx.doi.org/10.1093/med/9780198713333.003.0007,"Fetal medicine, fetal anaesthesia, and fetal surgery"
9,066943a2-fdac-4b29-b348-40cede398e4e,The integrated Human Lung Cell Atlas,CZI CXG,1,0,0,,female | male,10-year-old human stage | 15-year-old human stage | 18-year-old human stage | 21-year-old human stage | 22-year-old human stage | 23-year-old human stage | 24-year-old human stage | 25-year-old human stage | 26-year-old human stage | 27-year-old human stage | 29-year-old human stage | 30-year-old human stage | 31-year-old human stage | 32-year-old human stage | 33-year-old human stage | 34-year-old human stage | 35-year-old human stage | 36-year-old human stage | 37-year-old human stage | 38-year-old human stage | 40-year-old human stage | 41-year-old human stage | 42-year-old human stage | 44-year-old human stage | 46-year-old human stage | 47-year-old human stage | 49-year-old human stage | 50-year-old human stage | 52-year-old human stage | 53-year-old human stage | 54-year-old human stage | 55-year-old human stage | 56-year-old human stage | 57-year-old human stage | 58-year-old human stage | 59-year-old human stage | 61-year-old human stage | 62-year-old human stage | 63-year-old human stage | 64-year-old human stage | 66-year-old human stage | 67-year-old human stage | 68-year-old human stage | 69-year-old human stage | 71-year-old human stage | 75-year-old human stage | 76-year-old human stage | unknown,lung parenchyma | nose | respiratory airway,N/A,584884,normal,The integrated Human Lung Cell Atlas,False,10.1101/2020.10.21.347914,http://dx.doi.org/10.1101/2020.10.21.347914,Integrated Single Cell Atlas of Endothelial Cells of the Human Lung
