,dataset_id,dataset_name,dataset_shortname,genders,development_stage,organs,organ_cell_count,doi_title_is_same_as_dataset_title,doi_id,doi_url,doi_dataset_title,disease,publication_name,publication_url
0,f83165c5-e2ea-4d15-a5cf-33f3550bffde,Reconstructing the human first trimester fetal-maternal interface using single cell transcriptomics,Fetal/Maternal Interface,female | male | unknown,10th week post-fertilization human stage | Carnegie stage 14 | Carnegie stage 18 | Carnegie stage 22 | Carnegie stage 23 | human adult stage,blood | decidua | placenta,"[{'blood': None}, {'decidua': None}, {'placenta': None}]",False,10.1101/429589,http://dx.doi.org/10.1101/429589,Reconstructing the human first trimester fetal–maternal interface using single cell transcriptomics,normal | orofaciodigital syndrome VIII,N/A,N/A
1,248fcf03-16c6-4a41-b6cc-aad4d894ca42,Oleic acid restores suppressive defects in tissue-resident FOXP3 Tregs from patients with multiple sclerosis',OleicAcidMultipleSclerosis,female | male | unknown,human adult stage,blood | adipose tissue,"[{'blood': None}, {'adipose tissue': None}]",False,10.1172/jci138519,http://dx.doi.org/10.1172/jci138519,Oleic acid restores suppressive defects in tissue-resident FOXP3 Tregs from patients with multiple sclerosis,multiple sclerosis | normal,Oleic acid restores suppressive defects in tissue-resident FOXP3 Tregs from patients with multiple sclerosis.,https://www.jci.org/articles/view/138519
2,cddab57b-6868-4be4-806f-395ed9dd635a,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns.,Single cell transcriptome analysis of human pancreas,female | male,1-month-old human stage | 5-year-old human stage | 6-year-old human stage | human adult stage,pancreas,[{'pancreas': 2544}],False,10.1016/j.cell.2017.09.004,http://dx.doi.org/10.1016/j.cell.2017.09.004,Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns,normal,Single-Cell Analysis of Human Pancreas Reveals Transcriptional Signatures of Aging and Somatic Mutation Patterns.,https://www.ncbi.nlm.nih.gov/pubmed/28965763
3,2043c65a-1cf8-4828-a656-9e247d4e64f1,Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.,Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.,male,human embryonic stage,brain,[{'brain': None}],False,10.1186/s13059-016-1033-x,http://dx.doi.org/10.1186/s13059-016-1033-x,Single-cell RNA-seq reveals novel regulators of human embryonic stem cell differentiation to definitive endoderm,normal,Single-Cell Profiling of an In Vitro Model of Human Interneuron Development Reveals Temporal Dynamics of Cell Type Production and Maturation.,https://europepmc.org/abstract/MED/28279351
4,83f5188e-3bf7-4956-9544-cea4f8997756,Distinct microbial and immune niches of the human colon,ColonImmune10XSS2VDJ,female | male,human adult stage,large intestine | immune organ,"[{'large intestine': 1141}, {'immune organ': 381}]",True,10.1038/s41590-020-0602-z,http://dx.doi.org/10.1038/s41590-020-0602-z,Distinct microbial and immune niches of the human colon,normal,Distinct microbial and immune niches of the human colon,https://www.nature.com/articles/s41590-020-0602-z
5,23587fb3-1a4a-4f58-ad74-cc9a4cb4c254,Single cell analysis of human fetal liver captures the transcriptional profile of hepatobiliary hybrid progenitors,HumanDevoLiverSegalRashid,male | unknown,6-12 year old child stage | fetal stage | human adult stage,liver,[{'liver': 1475}],False,10.1038/s41467-019-11266-x,http://dx.doi.org/10.1038/s41467-019-11266-x,Single cell analysis of human foetal liver captures the transcriptional profile of hepatobiliary hybrid progenitors,normal,Single cell analysis of human foetal liver captures the transcriptional profile of hepatobiliary hybrid progenitors,https://www.nature.com/articles/s41467-019-11266-x
6,60ea42e1-af49-42f5-8164-d641fdb696bc,A Protocol for Revealing Oral Neutrophil Heterogeneity by Single-Cell Immune Profiling in Human Saliva,PRJNA640427_human_neutrophils,male,human adult stage,oral cavity,[{'oral cavity': 1145}],True,10.21203/rs.3.pex-953/v1,http://dx.doi.org/10.21203/rs.3.pex-953/v1,A Protocol for Revealing Oral Neutrophil Heterogeneity by Single-Cell Immune Profiling in Human Saliva,normal,A Protocol for Revealing Oral Neutrophil Heterogeneity by Single-Cell Immune Profiling in Human Saliva,https://doi.org/10.21203/rs.3.pex-953/v2
7,3e329187-a9c4-48ec-90e3-cc45f7c2311c,Establishing Cerebral Organoids as Models of Human-Specific Brain Evolution,kriegsteinBrainOrganoids,female | male,human adult stage | newborn human stage,brain,[{'brain': 1001}],True,10.1016/j.cell.2019.01.017,http://dx.doi.org/10.1016/j.cell.2019.01.017,Establishing Cerebral Organoids as Models of Human-Specific Brain Evolution,normal,Establishing Cerebral Organoids as Models of Human-Specific Brain Evolution.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544371/
8,ccef38d7-aa92-4010-9621-c4c7b1182647,Dissecting the clonal nature of allelic expression in somatic cells by single-cell RNA-seq,AllelicExpressionPatterns,female | male | unknown,Theiler stage 23 | adult,N/A,"[{'tail': 347}, {'hematopoietic system': 892}, {'liver': 31}, {'skin': 38}, {'brain': 4}, {None: None}]",False,10.1038/ng.3678,http://dx.doi.org/10.1038/ng.3678,Analysis of allelic expression patterns in clonal somatic cells by single-cell RNA–seq,normal,Analysis of allelic expression patterns in clonal somatic cells by single-cell RNA-seq,https://pubmed.ncbi.nlm.nih.gov/27668657/
9,88ec040b-8705-4f77-8f41-f81e57632f7d,Systematic comparative analysis of single cell RNA-sequencing methods,scRNAseqSystemicComparison,female | male,human adult stage | juvenile stage,brain | blood,"[{'brain': 15175}, {'blood': 44615}]",True,10.1101/632216,http://dx.doi.org/10.1101/632216,Systematic comparative analysis of single cell RNA-sequencing methods,normal,Systematic comparative analysis of single cell RNA-sequencing methods,https://www.biorxiv.org/content/10.1101/632216v2
