,dataset_id,dataset_name,Source,CZI CellXGene,Human Cell Atlas DCP,CXG + HCA (BOTH),"matched at (src, dest)",sex,development_stage,organs,organ_cell_count,total_cell_count,disease,publication_name / collection_name,doi_title_same_as_dataset_title,doi_id,doi_url,doi_title
0,524e045e-e74c-4e00-9884-d5c3bef3d862,Healthy human liver: hepatic stellate cells,CZI CXG,1,0,0,,female | male,human adult stage | mature stage,caudate lobe of liver,N/A,1374,normal,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",False,10.1002/hep.24511,http://dx.doi.org/10.1002/hep.24511,Human hepatic stellate cells are liver-resident antigen-presenting cells
1,0895c838-e550-48a3-a777-dbcd35d30272,Healthy human liver: B cells,CZI CXG,1,0,0,,female | male,human adult stage | mature stage,caudate lobe of liver,N/A,146,normal,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",False,10.1016/j.jhep.2013.08.007,http://dx.doi.org/10.1016/j.jhep.2013.08.007,CD141+ myeloid dendritic cells are enriched in healthy human liver
2,bf176af2-4432-4391-9b35-e21bd86ca4f8,Healthy human liver: liver sinusoidal endothelial cells,CZI CXG,1,0,0,,female | male,human adult stage | mature stage,caudate lobe of liver,N/A,6289,normal,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",False,10.1002/cphy.c140078,http://dx.doi.org/10.1002/cphy.c140078,Liver Sinusoidal Endothelial Cells
3,9f049476-2431-4645-a2d6-f6e85892b603,Healthy human liver: cholangiocytes,CZI CXG,1,0,0,,female | male,human adult stage | mature stage,caudate lobe of liver,N/A,1861,normal,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",False,10.1038/nrgastro.2017.108,http://dx.doi.org/10.1038/nrgastro.2017.108,Cholangiocytes regenerate hepatocytes during severe liver injury
4,3b6ed41e-10a1-47dd-b995-8cde7d041fd6,Healthy human liver: macrophages,CZI CXG,1,0,0,,female | male,human adult stage | mature stage,caudate lobe of liver,N/A,3977,normal,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",False,10.1007/s00424-017-1954-6,http://dx.doi.org/10.1007/s00424-017-1954-6,Liver macrophages in healthy and diseased liver
5,ddb22b3d-a75c-4dd1-9730-dff7fc8ca530,Healthy human liver: integrated,CZI CXG,1,0,0,,female | male,human adult stage | mature stage,caudate lobe of liver,N/A,73295,normal,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",False,10.1016/j.jhep.2013.08.007,http://dx.doi.org/10.1016/j.jhep.2013.08.007,CD141+ myeloid dendritic cells are enriched in healthy human liver
6,8faa2c07-0080-4627-b1d7-e645a780d752,Healthy human liver: hepatocytes,CZI CXG,1,0,0,,female | male,human adult stage | mature stage,caudate lobe of liver,N/A,50259,normal,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",False,10.1097/01.tp.0000140982.88704.41,http://dx.doi.org/10.1097/01.tp.0000140982.88704.41,Human Hepatocytes Isolation for Liver Cell Therapy: Whole Marginal Livers or Healthy Segments from Splitting?
7,a49d9109-1d0c-4b36-8139-19aa9a83428c,Healthy human liver: lymphocytes,CZI CXG,1,0,0,,female | male,human adult stage | mature stage,caudate lobe of liver,N/A,2346,normal,"Single-Cell, Single-Nucleus, and Spatial RNA Sequencing of the Human Liver Identifies Cholangiocyte and Mesenchymal Heterogeneity",False,10.1111/j.1440-1746.1995.tb01796.x,http://dx.doi.org/10.1111/j.1440-1746.1995.tb01796.x,Human liver-associated lymphocytes: An overview
8,c7775e88-49bf-4ba2-a03b-93f00447c958,Single-cell multi-omics analysis of the immune response in COVID-19,CZI CXG,1,0,0,,female | male,eighth decade human stage | fifth decade human stage | fourth decade human stage | ninth decade human stage | seventh decade human stage | sixth decade human stage | tenth decade human stage | third decade human stage,blood,N/A,647366,COVID-19 | normal | respiratory system disease,Single-cell multi-omics analysis of the immune response in COVID-19,True,10.1038/s41591-021-01329-2,http://dx.doi.org/10.1038/s41591-021-01329-2,Single-cell multi-omics analysis of the immune response in COVID-19
9,218acb0f-9f2f-4f76-b90b-15a4b7c7f629,multiplexed scRNA-seq of 1.2 million PBMCs from adult lupus samples,CZI CXG,1,0,0,,female | male,20-year-old human stage | 21-year-old human stage | 22-year-old human stage | 23-year-old human stage | 24-year-old human stage | 25-year-old human stage | 26-year-old human stage | 27-year-old human stage | 28-year-old human stage | 29-year-old human stage | 30-year-old human stage | 31-year-old human stage | 32-year-old human stage | 33-year-old human stage | 34-year-old human stage | 35-year-old human stage | 36-year-old human stage | 37-year-old human stage | 38-year-old human stage | 39-year-old human stage | 40-year-old human stage | 41-year-old human stage | 42-year-old human stage | 43-year-old human stage | 44-year-old human stage | 45-year-old human stage | 46-year-old human stage | 47-year-old human stage | 48-year-old human stage | 49-year-old human stage | 50-year-old human stage | 51-year-old human stage | 52-year-old human stage | 53-year-old human stage | 54-year-old human stage | 55-year-old human stage | 56-year-old human stage | 57-year-old human stage | 58-year-old human stage | 59-year-old human stage | 60-year-old human stage | 61-year-old human stage | 62-year-old human stage | 63-year-old human stage | 64-year-old human stage | 65-year-old human stage | 66-year-old human stage | 68-year-old human stage | 69-year-old human stage | 70-year-old human stage | 71-year-old human stage | 73-year-old human stage | 74-year-old human stage | 75-year-old human stage | 83-year-old human stage,blood,N/A,1263676,normal | systemic lupus erythematosus,Single-cell RNA-seq reveals the cell-type-specific molecular and genetic associations to lupus,False,10.1002/9783527678679.dg11555,http://dx.doi.org/10.1002/9783527678679.dg11555,scRNA-Seq
